organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,27.60,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,20.28,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,31.99,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,57.49,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,17.83,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,40.08,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,35.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,55.76,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,53.04,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,44.35,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.11,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,51.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,56.45,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,9.84,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,15.55,Song,1,,false
